Name;Address 1 - Formatted;Address 1 - Street;Address 1 - City;Address 1 - PO Box;Address 1 - Region;Address 1 - Postal Code;Address 1 - Country;;;;;;;;;;;;
Société  AD-VISEO ;18 rue Sainte Cécile  - 31100 TOULOUSE;18 rue Sainte Cécile ;TOULOUSE;;;31100;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Valérie BERGER ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  GEOREFLET ;;;;;;;;;;;;;;;;;;;
http://clients.teamber.fr/administrator/index.php?geosecure ;;;;;;;;;;;;;;;;;;;
nom d'utilisateur : sebastienperrot;;;;;;;;;;;;;;;;;;;
mot de passe : nathalie;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Aller sur composants/iGuruPro;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Delphine Mabire ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SARL  Entreprises Midi-Pyrénées ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Emma Bao ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Association  CEM ;;;;;;;;;;;;;;;;;;;
mdp : #2pMkj)(MsovwUcV;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Jean-Louis Bouttier ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SARL  LINAGORA TOULOUSE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  TECHNISPHERE ;Place Paul Riche - 31200 TOULOUSE;Place Paul Riche;TOULOUSE;;;31200;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Patrice GABAS ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Michèle DUPIERRIS ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Agence d’architecture  SEXTANT ARCHITECTURE ;4 Bis CITE CHABROL - 63000 CLERMONT-FERRAND;4 Bis CITE CHABROL;CLERMONT-FERRAND;;;63000;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Sandrine CHANTELOT ;;;;;;;;;;;;;;;;;;;
PAs d'avancée avec personne;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SARL  AGENCE VIEILLECROZE ;38 ROUTE DES SALINS - 83990 St tropez;38 ROUTE DES SALINS;St tropez;;;83990;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  ATELIER 3L ARCHITECTES ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Christine GALY ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  IM ARCH ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Denis ESTABES ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  GARONNE REALISATIONS ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Bruno PIVATO ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  SLOWATT CONSULTING ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Stéphane HENGAN ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  AGENCE MOGA ;;;;;;;;;;;;;;;;;;;
Société d'environ 9 personnes;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Michel MOGA ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SARL  LABSOFT ;Bâtiment ACTYS I  55 Voie l'Occitane - 31673 LABEGE INNOPOLE CEDEX;Bâtiment ACTYS I  55 Voie l'Occitane;LABEGE INNOPOLE CEDEX;;;31673;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Maxime THOMAS ;36 quai de Tounis - 31000 TOULOUSE;36 quai de Tounis;TOULOUSE;;;31000;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  HONOTEL ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Anna BRITTNACHER ;;;;;;;;;;;;;;;;;;;
Va changer de poste à la fin du mois pour s'occuper de la maintenance.Mail envoyé ce jour;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SARL  PLENETUDE ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Informaticien : Matthieu Vocanson - APE CONSEIL;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Laurent PENICAUD ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Sylvain GIRARDET  ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  BATIMAT ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  SUNSQUARE ;16 rue de Chateaudun   - 75009 PARIS;16 rue de Chateaudun  ;PARIS;;;75009;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Matthieu ENGLES ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Société  ABN CONCEPT ;29 place du Béguinage - 78570 CHANTELOUP LES VIGNES;29 place du Béguinage;CHANTELOUP LES VIGNES;;;78570;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Abdoul Aziz NDIAYE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  Musée du louvre ;Musée du Louvre  - 75001 PARIS;Musée du Louvre ;PARIS;;;75001;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Sarah Dorado ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SARL  Cross consult ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Valère TCHUMTCHOUA TOHOUO ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Abdel JBARA ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  AJ INGENIERIE ;1 centre commercial de la tour - 93120 La courneuve;1 centre commercial de la tour;La courneuve;;;93120;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Daniel ARANOVICH ;112 Bvd Auguste Blanqui - 75013 Paris;112 Bvd Auguste Blanqui;Paris;;;75013;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SARL  HANSO ;;;;;;;;;;;;;;;;;;;
1106-5144;;;;;;;;;;;;;;;;;;;
BEIRUT Liban;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Antoine E.HOKAYEM ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  PROGEA ;Immeuble Plazza MARENGO - ZI Collery 2 - 97300 Cayenne;Immeuble Plazza MARENGO - ZI Collery 2;Cayenne;;;97300;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Marion LEFEBVRE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Agence d’architecture  AMET ;Akébé-Ville  BP 4076 -  LIBREVILLE;Akébé-Ville  BP 4076;LIBREVILLE;;;;Gabon;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Erichk MAURO ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  HANSO ;15 rue Dulac - 75015 PARIS;15 rue Dulac;PARIS;;;75015;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  HANSO ;15 rue Dulac - 75015 PARIS;15 rue Dulac;PARIS;;;75015;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Cabinet  FAIVRE ;40 rue Balzac - 59000 LILLE;40 rue Balzac;LILLE;;;59000;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Arnaud COUSSAERT ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  HONOTEL ;214 rue du Faubourg Saint-Honoré - 75008 Paris;214 rue du Faubourg Saint-Honoré;Paris;;;75008;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  CESI ECOLE D'INGENIEURS ;3 boulevard de la Seine  BP 602 - 92006 PARIS NANTERRE;3 boulevard de la Seine  BP 602;PARIS NANTERRE;;;92006;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  INFOPRO DIGITAL ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
 PIVET Cam-tu ;;;;;;;;;;;;;;;;;;;
Directrice de clientèle digital;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  AQUIBAT ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Catherine SEILLAN ;20 rue Jean Jaurès - 33310 LORMONT;20 rue Jean Jaurès;LORMONT;;;33310;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  SATELLITE ARCHITECTES ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  PARVIS ;SNCF - Direction déléguée des Gares Transiliennes  34 rue du Commandant Mouchotte - 75699 PARIS CEDEX;SNCF - Direction déléguée des Gares Transiliennes  34 rue du Commandant Mouchotte;PARIS CEDEX;;;75699;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Constantin DÖHLER ;;;;;;;;;;;;;;;;;;;
N'exclue pas l'idée mais pas le bon moment.;;;;;;;;;;;;;;;;;;;
A suivre;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Marie GUITTON ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  SOPIVEL ;;;;;;;;;;;;;;;;;;;
Certifié ISO 9001:2008;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Karim BEN SALAH ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  BECS ;;;;;;;;;;;;;;;;;;;
07.04.2016 Message tel et mail à M.Aubert;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  GEPRIF ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Jorge GOMES ;38 rue de Villiers - 95532 Levallois-Perret;38 rue de Villiers;Levallois-Perret;;;95532;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Eric AUBERT ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Mathieu GATEAU ;;;;;;;;;;;;;;;;;;;
Pas de projet créé.;;;;;;;;;;;;;;;;;;;
Rencontré sur Batimat 2015;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Ets  RIBREAU ;Montigny - Route de Valençay - 37460 Montrésor;Montigny - Route de Valençay;Montrésor;;;37460;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  PROJECTS PARTNERS ;12 avenue Maurice Thorez - 94200 IVRY SUR SEINE;12 avenue Maurice Thorez;IVRY SUR SEINE;;;94200;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Thierry BALU ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  JET CONTRACTORS ;Quartier industriel de Oued Yquem   - 12040 SKHIRATE;Quartier industriel de Oued Yquem  ;SKHIRATE;;;12040;Maroc;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SAS  AK ;;;;;;;;;;;;;;;;;;;
07.04.2016 5 personnes.Echange avec M.Rolland. Ont réduit la voilure.Pb de baisse d'activité;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Jean-Luc ROLLAND ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Didier PORCHE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SAS  AURIEL ;90 rue de la Victoire - 75009 PARIS;90 rue de la Victoire;PARIS;;;75009;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. François JOLITON ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Johnny Tan Yan ;83 Costal Road  Tombeau-Bay -  ;83 Costal Road  Tombeau-Bay;;;;;Maurice;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Atelier d'architecture  MICHEL REMON ;6 Cité de l'Ameublement - 75011 PARIS;6 Cité de l'Ameublement;PARIS;;;75011;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Razuan GORCEA ;;;Bureau; -  ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Jean-Pierre VALLEE ;1 chemin des saules - 35310 BREAL SOUS MONTFORT;1 chemin des saules;BREAL SOUS MONTFORT;;;35310;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Jean-Luc FAYET ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Il est tout seul et souhaite simplement le partage d'information avec des utilisateurs externes.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Il souhaiterait une version light de Teamber avec simplement des projets;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Si oui;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  LES CAHIERS TECHNIQUES DU BATIMENT ;Groupe Moniteur  17 rue d'Uzès - 75002 PARIS;Groupe Moniteur  17 rue d'Uzès;PARIS;;;75002;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Antoine HUDIN ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  CEGELEC ;117 avenue Gros Mailhon  CS 54230 - 35042 RENNES Cedex;117 avenue Gros Mailhon  CS 54230;RENNES Cedex;;;35042;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Pierre-Marie CREMONT ;;;;;;;;;;;;;;;;;;;
Suite à msg tel ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Agence d’architecture  JMCL ;98 bd des Batignolles - 75017 PARIS;98 bd des Batignolles;PARIS;;;75017;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Jérémy MAURY ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  OTEIS - GRONTMIJ - SECHAUD BOSSUYT ;Agence Ile-de-France  Tour de Rosny 2  Avenue du Général de Gaulle - 93118 ROSNY-SOUS-BOIS Cedex;Agence Ile-de-France  Tour de Rosny 2  Avenue du Général de Gaulle;ROSNY-SOUS-BOIS Cedex;;;93118;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Claude HEMERY ;;;;;;;;;;;;;;;;;;;
Logistique données numériques;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  BSV ;129 rue Jules Guesde  - 92300 Levallois-Perret;129 rue Jules Guesde ;Levallois-Perret;;;92300;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. André COLLIN ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Benoit CROQUIN ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  BATYOM ;Batiment Aéronef - Roissypôle  5 rue de Copenhague  BP 13918 - 95731 ROISSY CDG;Batiment Aéronef - Roissypôle  5 rue de Copenhague  BP 13918;ROISSY CDG;;;95731;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Alexandre STERLIN ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  CRC ;48 rue molière - 72000 Le Mans;48 rue molière;Le Mans;;;72000;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Kévin RICHARD ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Guillaume SIMONNET ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
 MES NOUVEAUX COMMERCIAUX MNC ;;;;;Bureau;126 rue Georges Clémenceau - 92000 NANTERRE;126 rue Georges Clémenceau;;;;;;;;;Recruteur;;;
;;;;;;;;;;;;;;;;;;;
  AVIENCE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Arnaud PENEL ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  ETPO ;3 Place du Sanitat - 44100 Nantes;3 Place du Sanitat;Nantes;;;44100;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Olivier GIRAUDINEAU ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SARL  MODEO ;1 rue Georges Brassens - 31200 TOULOUSE;1 rue Georges Brassens;TOULOUSE;;;31200;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Cheikhou SYLLA ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SARL  AGREBAT ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Mahamoudou WADIDIE ; -  ;;;;;;Mali;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  IDA - International Design & Architect ;27 rue général Derboville -  Oran;27 rue général Derboville;Oran;;;;Algérie;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Abdellah MOULAY ALAOUI  ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Marie GUITTON ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
 COMMUNAUTE D'AGGLOMERATION SICOVAL ;65 rue du Chêne Vert - 31670 LABEGE;65 rue du Chêne Vert;LABEGE;;;31670;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Sandrine DECOUX ;65rue du Chene Vert 31670 Labege - 31670 Labege;65rue du Chene Vert 31670 Labege;Labege;;;31670;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  IDP Architectes ;8 rue Joseph Vié - 31300 TOULOUSE;8 rue Joseph Vié;TOULOUSE;;;31300;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Pierre BONNARD ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Alain FOURETS ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Virgile CHAMPY ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
 Didier PANAROTTO ;32 avenue des Pyrénées - 31600 MURET;32 avenue des Pyrénées;MURET;;;31600;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  OVH ;;;;;;;;;;;;;;;;;;;
MDP: ovhdelphine2014;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  BUROTEC ;5 Avenue Georges Pompidou - 31270 CUGNAUX;5 Avenue Georges Pompidou;CUGNAUX;;;31270;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Frédéric LEFEVRE ;;;;;;;;;;;;;;;;;;;
Pour mémoire;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
SELARL Laurence RYCKWAERT ;;;;;;;;;;;;;;;;;;;
Echange tel du 5 septembre.;;;;;;;;;;;;;;;;;;;
"Ne peut se permettre d'investir plus en ce moment compte tenu du niveau d'activités actuel. Ce n'est pas perdu ""dixit Mme Ryckwaert"" mais pas immédiatement en tout cas.A priori peine à amortir les investissements de mai.";;;;;;;;;;;;;;;;;;;
A suivre fin d'année .;;;;;;;;;;;;;;;;;;;
Entretien tel du 9 mai.Vient d'investir dans ArchiCad et nouveaux postes de travail.Investissement lourd.;;;;;;;;;;;;;;;;;;;
Souhaite que l'on reprenne contact en septembre le temps de digérer l'investissement et de prendre en main.;;;;;;;;;;;;;;;;;;;
Pour autant interet pour Teamber mais trouve cela un peu élevé;;;;;;;;;;;;;;;;;;;
Bref;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  Builders and Partners ;20 Rue Troyon - 92310 Sèvres;20 Rue Troyon;Sèvres;;;92310;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Gaetan DE BENTZMANN ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  Thevenot Architecte ;;;;;;;;;;;;;;;;;;;
A relancer début 2017. Soluce interessante mais un peu trope onereuse pour eux à l'instant T .Sont 3 personnes et gerent avec les moyens du bord en attendant de franchir un cap en termes d'affaires et financier.;;;;;;;;;;;;;;;;;;;
Interlocuteur sympa;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  BATIACTU ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Alexandre Ansart ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
EURL  WSP ;3 rue des Charons - 31700 BLAGNAC;3 rue des Charons;BLAGNAC;;;31700;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Pascal MARCAILLOU ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  KEO FLUIDES ;Siège social   1 montée de la Butte - 69001 Lyon;Siège social   1 montée de la Butte;Lyon;;;69001;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Pierre-Olivier CELLE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  MATH INGENIERIE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  J ROBERT INGENIERIE ;8 rue Jacques Babinet - 31100 TOULOUSE;8 rue Jacques Babinet;TOULOUSE;;;31100;Côte d’Ivoire;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Hugues SOURY-LAVERGNE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
EURL  SEUIL ARCHITECTURE ;18 rue Adonis - 31200 TOULOUSE;18 rue Adonis;TOULOUSE;;;31200;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Philippe GONCALVES ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  TERRELL ;;;;;;;;;;;;;;;;;;;
    Adresse :;;;;;;;;;;;;;;;;;;;
    11 rue Heinrich;;;;;;;;;;;;;;;;;;;
    92100 Boulogne-Billancourt;;;;;;;;;;;;;;;;;;;
    Téléphone : 01.46.21.07.46;;;;;;;;;;;;;;;;;;;
    Fax : 01.46.21.03.48;;;;;;;;;;;;;;;;;;;
    Internet : www.terrellgroup.net;;;;;;;;;;;;;;;;;;;
    Email : paris@terrellgroup.net;;;;;;;;;;;;;;;;;;;
    Chiffre d'affaires : 13.7 M €;;;;;;;;;;;;;;;;;;;
    Effectif : 110;;;;;;;;;;;;;;;;;;;
    Code APE : 7112B / Ingénierie;;;;;;;;;;;;;;;;;;;
    Secteur : Services / Conseil / Communication;;;;;;;;;;;;;;;;;;;
    Spécialisation : Ingénierie du bâtiment (structures;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Guillaume NIEL ;35 rue Lancefoc  - 31000 TOULOUSE;35 rue Lancefoc ;TOULOUSE;;;31000;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Florence BONTEMPS ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M. Valentin TROLLE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
EURL  Cardete Huet Architectes ;38 Rue Alfred Dumeril - 31400 TOULOUSE;38 Rue Alfred Dumeril;TOULOUSE;;;31400;France;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mme Sylvie MONTAGNE ; -  ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  AMSYCOM ;38; rue Jacques Ibert   - 92300 LEVALLOIS-PERRET;38; rue Jacques Ibert  ;LEVALLOIS-PERRET;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
 Frédéric MIQUEL ;38; rue Jacques Ibert   - 92300 Levallois Perret;38; rue Jacques Ibert  ;Levallois Perret;;;;;;;;;;;;;;
