,Nom,Adresse,Dernier contact,Type,Espérance concrétisation,Département,Ajouté
29,  TECHNISPHERE ,Place Paul Riche - 31200 TOULOUSE,2020-01-28,Client,0.09,31,True
30,SARL  ART-CAM ARCHITECTURES ,1 Rue du 35ÈME Régiment d'Aviation - 69500 BRON,2020-01-21,Client,0.05,69,True
31,M. Etienne Bertaud du Chazaud ,2 bis avenue de Lombez - 31300 Toulouse,2020-01-29,Client,0.07,31,True
32,Bureau d'étude  B.E.T.E.R.U (Bureau Etudes Techniques d'Equipement Rural et Urbain)  ,Les Landes  - 31850  MONDOUZIL,2020-01-23,Prospect,0.49,31,True
33,Bureau d'étude  SARL ARTES ,534 Rue Marius Petipa - 34080  Montpellier ,2020-01-20,Prospect,0.06,34,True
34,  APACHES ARCHITECTES ,21 Rue des Balances - 34000 Montpellier,2020-01-21,Prospect,0.9,34,True
35,SARL  LABSOFT ,Bâtiment ACTYS I  55 Voie l'Occitane - 31673 LABEGE INNOPOLE CEDEX,2020-01-19,Prospect,0.15,31,True
36,Agence d’architecture  C.F.L Architecture ,17 Avenue du Colonel Schuler - 13100  Aix-en-Provence,2020-01-29,Prospect,0.29,13,False
37,M. Thibaud Santantonio ,30 rue du Lac - 69442 Lyon Cedex 3,2020-01-28,Prospect,0.82,69,True
38,Bureau d'étude  SOL.A.I.R ,47 Boulevard de la République - 13100  Aix-en-Provence ,2020-01-19,Prospect,0.24,13,True
39,  KEO FLUIDES ,Siège social   1 montée de la Butte - 69001 Lyon,2020-01-21,Prospect,0.41,69,True
40,Bureau d'étude  B.E. 63  ,70 Rue des Varennes - 63170  Aubière ,2020-01-28,Prospect,0.0,63,True
41,Agence d’architecture  Vernay-faure Architecture  ,ZAC de Claveloux 9 Rue Claude Burdin - 63000  Clermont-Ferrand ,2020-01-30,Prospect,0.58,63,False
42,Agence d’architecture  Marcillon Thuilier Architecte (MTA) ,13 Place Delille - 63000  Clermont-Ferrand ,2020-01-29,Prospect,0.22,63,True
43,SA  S.I.E.R SOCIETE INDUSTRIELLE ETUDES ET REALISATION ,69 Av de Cornebarrieu Technoclub A - 31700 BLAGNAC,2020-01-16,Prospect,0.96,31,False
44,  GROUPE ATRIUM , 5 Rue de la Télématique - 42000 Saint Etienne,2020-01-26,Prospect,0.1,42,False
45,Bureau d'étude  GÉOVAL ,38 Rue de Sarliève - 63800  Cournon-d'Auvergne ,2020-01-28,Prospect,0.86,63,True
46,Bureau d'étude  BATISERF  ,11 Boulevard Paul Langevin - 38600  Fontaine ,2020-01-24,Prospect,0.77,38,False
47,Agence d’architecture  Séquences ,51 bis rue des Amidonniers - 31080 Toulouse,2020-01-26,Prospect,0.07,31,False
48,Mme Magalie Morlat-Martos ,1 Place Saint Etienne - 31038 Toulouse Cedex 9,2020-01-23,Prospect,0.12,31,False
49,  AUDIT TELECOM ,Responsable Agence 31  29 chemin Saint Pierre - 31170 TOURNEFEUILLE,2020-01-24,Prospect,0.14,31,True
50,  MUTUELLE PRÉVIFRANCE  ,80 rue matabiau - 31012 Toulouse ,2020-01-22,Prospect,0.18,31,False
51,Mme Karine Labbe ,60 boulevard de Thibaud - 31100 Toulouse,2020-01-22,Prospect,0.83,31,True
52,Mme Céline Rigole ,2 allée Victor Hugo - 31240 Saint Jean,2020-01-22,Prospect,0.8,31,False
53,SAS  SERIANS ,14 rue Michel Labrousse - 31100 TOULOUSE,2020-01-24,Prospect,0.08,31,True
54,SARL  OTCE INFRA ,4 B Chemin Benech   - 31470 Fonsorbes,2020-01-29,Prospect,0.58,31,False
55,M. Patrick Houbron ,9 avenue des Pyrénées - 31240 L'Union,2020-01-26,Prospect,0.09,31,False
56,  SJR LABELS ,26 rue de la colombette - 31000 Toulouse,2020-01-20,Prospect,0.64,31,False
57,Agence d’architecture  AGREGA Architectes ,13 Rue du Général de Miribel - 69007  Lyon,2020-01-26,Prospect,0.48,69,False
58,  GBMP ,Bd Marcel Paul  ZI de Pahin - 31170 TOURNEFEUILLE,2020-01-23,Prospect,0.34,31,False
59,Agence d’architecture  L'Atelier Architectes ,555 Chemin du bois - 69140 Rillieux la Pape,2020-01-20,Prospect,0.98,69,False
60,Société  Tisseo ,4 impasse Paul Mesplé - 31081 Toulouse Cedex 1,2020-01-29,Prospect,0.38,31,False
